Imagem,Percentual,Classificador,Altura_imagem,Largura_imagem
125,0.6447463768115942,CalibratedClassifierCV,768,1024
126,0.58,QuadraticDiscriminantAnalysis,768,1024
127,0.6233333333333333,GaussianNB,1024,768
128,0.6221343873517786,GradientBoostingClassifier,576,1024
129,0.6435672514619883,LabelPropagation,1024,683
130,0.6737318840579711,LogisticRegression,1024,768
131,0.5820346320346321,SVC,684,1024
132,0.62,NuSVC,1024,768
133,0.6565359477124184,GradientBoostingClassifier,683,1024
134,0.7128676470588236,NuSVC,1024,692
135,0.7043290043290044,BernoulliNB,682,1024
136,0.613157894736842,GradientBoostingClassifier,903,1024
137,0.5714285714285714,LinearSVC,1024,768
138,0.6136029411764706,SVC,1024,683
139,0.5920833333333334,NearestCentroid,768,1024
140,0.5856617647058824,LogisticRegressionCV,683,1024
141,0.6309782608695651,SVC,1024,768
142,0.6117647058823529,QuadraticDiscriminantAnalysis,683,1024
143,0.6377470355731225,SVC,768,1024
144,0.6225146198830409,HistGradientBoostingClassifier,575,1024
145,0.6213157894736842,HistGradientBoostingClassifier,768,1024
146,0.6373219373219372,AdaBoostClassifier,768,1024
147,0.7028947368421051,KNeighborsClassifier,1024,683
148,0.5421052631578946,ExtraTreeClassifier,768,1024
149,0.6687134502923976,KNeighborsClassifier,1024,768
150,0.6038095238095238,KNeighborsClassifier,683,1024
151,0.6828947368421053,SVC,680,1024
152,0.6154761904761904,HistGradientBoostingClassifier,768,1024
153,0.6200000000000001,BaggingClassifier,628,1024
154,0.5755411255411256,BernoulliNB,769,1024
155,0.5958874458874459,KNeighborsClassifier,554,1024
156,0.567251461988304,ComplementNB,683,1024
157,0.6444444444444445,GaussianNB,1024,768
158,0.6303921568627451,RandomForestClassifier,768,1024
159,0.5763157894736841,ExtraTreesClassifier,683,1024
160,0.7080952380952381,SVC,681,1024
161,0.6120000000000001,ComplementNB,683,1024
162,0.6549019607843137,KNeighborsClassifier,768,1024
163,0.6128654970760234,GradientBoostingClassifier,681,1024
164,0.6116666666666666,CalibratedClassifierCV,680,1024
165,0.6545751633986929,NuSVC,768,1024
166,0.6420948616600791,HistGradientBoostingClassifier,1024,768
167,0.6675438596491228,QuadraticDiscriminantAnalysis,685,1024
168,0.6733333333333332,KNeighborsClassifier,768,1024
169,0.6701754385964913,BaggingClassifier,768,1024
170,0.5692105263157894,NuSVC,768,1024
